cdsid,role,firstName,lastName,email,imageUrl
eking,Software Engineer,Eleanor,King,eking@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626158.png
emartin1,Software Engineer,Eleanor,Martinez,emartin1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631096.png
emartin2,Software Engineer,Ellie,Martinez,emartin2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641720.png
emartin3,Software Engineer,Ethan,Martinez,emartin3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201143.png
emartine,Software Engineer,Eduardo,Martinez,emartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629659.png
emiller,Data Scientist,Edith,Miller,emiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627863.png
emiller1,Anchor,Eileen,Miller,emiller1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631216.png
emiller2,Software Engineer,Eleanor,Miller,emiller2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641724.png
emiller3,Product Manager,Elizabeth,Miller,emiller3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631309.png
emiller4,Software Engineer,Emily,Miller,emiller4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628989.png
emiller5,Software Engineer,Emma,Miller,emiller5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630643.png
emiller6,Data Engineer,Ethan,Miller,emiller6@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629631.png
ephillip,Data Engineer,Emma,Phillips,ephillip@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630538.png
esmith,Software Engineer,Elizabeth,Smith,esmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/2738.png
esmith1,Software Engineer,Ellie,Smith,esmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/204060.png
esmith2,Data Engineer,Emily,Smith,esmith2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627742.png
esmith3,Data Scientist,Ethan,Smith,esmith3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202681.png
esmith4,Software Engineer,Ezekiel,Smith,esmith4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628371.png
etaylor,Anchor,Eleanor,Taylor,etaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631093.png
etaylor1,Anchor,Elizabeth,Taylor,etaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630543.png
etaylor2,Software Engineer,Ella,Taylor,etaylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202704.png
etaylor3,Software Engineer,Ellie,Taylor,etaylor3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641713.png
etaylor4,Software Engineer,Emily,Taylor,etaylor4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png
etaylor5,Product Designer,Ethan,Taylor,etaylor5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628991.png
etaylor6,Software Engineer,Evita,Taylor,etaylor6@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631218.png
ewalker,Go To Market Lead,Elizabeth,Walker,ewalker@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
ewilliam,Software Engineer,Elijah,Williams,ewilliam@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631170.png
ewilson,Software Engineer,Eleanor,Wilson,ewilson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629610.png
ewilson1,Product Manager,Elizabeth,Wilson,ewilson1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629660.png
ewilson2,Anchor,Emily,Wilson,ewilson2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630198.png
ewilson3,Anchor,Ethan,Wilson,ewilson3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629661.png
ewilson4,Data Scientist,Evelyn,Wilson,ewilson4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630552.png
ewilson5,Software Engineer,Ezekiel,Wilson,ewilson5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201949.png
ganders1,Software Engineer,Grace,Anderson,ganders1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629640.png
ganderso,Go To Market Lead,Gina,Anderson,ganderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630553.png
gcook,Software Engineer,Gary,Cook,gcook@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641749.png
gdavis,Go To Market Lead,Grace,Davis,gdavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203999.png
gdesai,Software Engineer,Gaurav,Desai,gdesai@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630637.png
ggupta,Data Scientist,Geeta,Gupta,ggupta@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641732.png
gharris,Software Engineer,Gabrielle,Harris,gharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627745.png
gharris1,Product Designer,Geoffrey,Harris,gharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630529.png
gharris2,Data Engineer,Grace,Harris,gharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630539.png
giyer,Software Engineer,Geeta,Iyer,giyer@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630200.png
giyer1,Product Manager,Girish,Iyer,giyer1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626145.png
gjohnson,Go To Market Lead,Glenn,Johnson,gjohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627884.png
gmartin,Product Manager,Grace,Martin,gmartin@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201599.png
gmartin1,Data Engineer,Graciella,Martinez,gmartin1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202709.png
gmartine,Software Engineer,Gabriella,Martinez,gmartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631107.png
gmiller,Software Engineer,Grace,Miller,gmiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630548.png
gmitchel,Anchor,Gemma,Mitchell,gmitchel@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629662.png
gmoore,Anchor,Gareth,Moore,gmoore@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628379.png
gpatel,Software Engineer,Gayatri,Patel,gpatel@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631117.png
gsmith,Go To Market Lead,Gabriella,Smith,gsmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630296.png
gsmith1,Product Designer,Gabrielle,Smith,gsmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629663.png
gsmith2,Product Designer,Grace,Smith,gsmith2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631340.png
gtaylor,Software Engineer,Gabriel,Taylor,gtaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630557.png
gtaylor1,Product Manager,Grace,Taylor,gtaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628467.png
gtaylor2,Anchor,Guiellermo,Taylor,gtaylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630233.png
gwilliam,Software Engineer,Genesis,Williams,gwilliam@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628995.png
gwilson,Software Engineer,George,Wilson,gwilson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631132.png
gwilson1,Data Scientist,Gordon,Wilson,gwilson1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629723.png
gwilson2,Go To Market Lead,Grace,Wilson,gwilson2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627788.png
handers1,Anchor,Hannah,Anderson,handers1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628436.png
handers2,Product Designer,Harper,Anderson,handers2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630228.png
handers3,Product Manager,Heather,Anderson,handers3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628398.png
handerso,Software Engineer,Hallie,Anderson,handerso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631222.png
hbrown,Data Engineer,Hannah,Brown,hbrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203897.png
hdavis,Software Engineer,Harper,Davis,hdavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630237.png
hharris,Software Engineer,Harper,Harris,hharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629111.png
hjohnso1,Software Engineer,Harper,Johnson,hjohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png
hjohnso2,Software Engineer,Henry,Johnson,hjohnso2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627747.png
hjohnson,Product Manager,Hannah,Johnson,hjohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627814.png
hjones,Product Manager,Hank,Jones,hjones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630240.png
hjones1,Go To Market Lead,Henry,Jones,hjones1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203458.png
hmartin1,Product Manager,Harper,Martinez,hmartin1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202695.png
hmartin2,Software Engineer,Hazel,Martinez,hmartin2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203086.png
hmartin3,Product Designer,Henry,Martinez,hmartin3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631171.png
hmartine,Go To Market Lead,Hannah,Martinez,hmartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641721.png
hmiller,Anchor,Henry,Miller,hmiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630184.png
hnair,Anchor,Harish,Nair,hnair@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630604.png
hparker,Software Engineer,Hannah,Parker,hparker@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203081.png
hpatel,Product Manager,Himanshu,Patel,hpatel@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629642.png
hpillai,Anchor,Harish,Pillai,hpillai@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641726.png
hsharma,Go To Market Lead,Harish,Sharma,hsharma@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630587.png
hsmith,Software Engineer,Hadley,Smith,hsmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641753.png
hsmith1,Software Engineer,Hannah,Smith,hsmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631254.png
hsmith2,Software Engineer,Harrold,Smith,hsmith2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626172.png
hsmith3,Software Engineer,Hazel,Smith,hsmith3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201572.png
hsmith4,Product Manager,Heidi,Smith,hsmith4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201577.png
hsmith5,Anchor,Henry,Smith,hsmith5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201567.png
htaylor,Anchor,Hailey,Taylor,htaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/200768.png
htaylor1,Product Designer,Harper,Taylor,htaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641754.png
htaylor2,Go To Market Lead,Henry,Taylor,htaylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626168.png
hwilson,Data Scientist,Harper,Wilson,hwilson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630177.png
ianderso,Go To Market Lead,Isabella,Anderson,ianderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630572.png
ibrown,Product Manager,Isabella,Brown,ibrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629611.png
iharris,Software Engineer,Isaac,Harris,iharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630544.png
iharris1,Product Manager,Isabella,Harris,iharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628374.png
iharris2,Software Engineer,Isaiah,Harris,iharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630230.png
ijohnson,Software Engineer,Isabella,Johnson,ijohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628997.png
imartine,Go To Market Lead,Isabella,Martinez,imartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628998.png
ireddy,Anchor,Ishita,Reddy,ireddy@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641798.png
ismith,Software Engineer,Isabella,Smith,ismith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630231.png
ithakur,Software Engineer,Indira,Thakur,ithakur@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629726.png
iwood,Anchor,Ian,Wood,iwood@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631097.png
janders1,Product Manager,John,Anderson,janders1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202083.png
janderso,Product Designer,Jack,Anderson,janderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630178.png
jbaker,Product Manager,Jennifer,Baker,jbaker@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630571.png
jbrown,Software Engineer,Jack,Brown,jbrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630540.png
jbrown1,Software Engineer,John,Brown,jbrown1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630644.png
jbrown2,Data Scientist,Joseph,Brown,jbrown2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203468.png
jchoudha,Data Engineer,Jayant,Choudhary,jchoudha@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/204456.png
jdavis,Software Engineer,Jack,Davis,jdavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630183.png
jdavis1,Product Manager,James,Davis,jdavis1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629667.png
jdavis2,Software Engineer,Jeffrey,Davis,jdavis2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203926.png
jdavis3,Data Engineer,Joseph,Davis,jdavis3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201580.png
jgray,Product Designer,Jeremy,Gray,jgray@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631121.png
jharris,Go To Market Lead,Jack,Harris,jharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629162.png
jharris1,Enablement Manager,James,Harris,jharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629001.png
jharris2,Software Engineer,Jeremy,Harris,jharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630241.png
jharris3,Software Engineer,Job,Harris,jharris3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629002.png
jharris4,Software Engineer,Joseph,Harris,jharris4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203995.png
jjohnso1,Data Engineer,Jacques,Johnson,jjohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203114.png
jjohnso2,Product Manager,James,Johnson,jjohnso2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641756.png
jjohnso3,Software Engineer,Jennifer,Johnson,jjohnso3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641706.png
jjohnso4,Software Engineer,Joseph,Johnson,jjohnso4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641757.png
jjohnson,Anchor,Jack,Johnson,jjohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631159.png
jjones,Go To Market Lead,James,Jones,jjones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201988.png
jjones1,Product Manager,John,Jones,jjones1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629003.png
jjones2,Software Engineer,Joseph,Jones,jjones2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631169.png
jking,Product Manager,Joseph,King,jking@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630558.png
jmalhotr,Software Engineer,Jyoti,Malhotra,jmalhotr@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628378.png
jmartin1,Software Engineer,Jesus,Martinez,jmartin1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630596.png
jmartin2,Anchor,Joseph,Martinez,jmartin2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630600.png
jmartin3,Anchor,Juanita,Martinez,jmartin3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628370.png
jmartine,Product Designer,James,Martinez,jmartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630541.png
jmiller,Software Engineer,Jackson,Miller,jmiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629875.png
jmiller1,Go To Market Lead,James,Miller,jmiller1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641760.png
jmiller2,Software Engineer,Jennifer,Miller,jmiller2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631111.png
jmiller3,Data Scientist,Jeremy,Miller,jmiller3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629630.png
jmiller4,Go To Market Lead,Joseph,Miller,jmiller4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202693.png
jpatel,Product Manager,Jatin,Patel,jpatel@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628420.png
jross,Product Designer,Jason,Ross,jross@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202694.png
jsharma,Anchor,Jaya,Sharma,jsharma@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630530.png
jsmith,Go To Market Lead,Jackson,Smith,jsmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627749.png
jsmith1,Software Engineer,Jalen,Smith,jsmith1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627750.png
jsmith2,Product Designer,James,Smith,jsmith2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631099.png
jsmith3,Go To Market Lead,Jason,Smith,jsmith3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631200.png
jsmith4,Product Manager,Jeffrey,Smith,jsmith4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203488.png
jsmith5,Anchor,Jennifer,Smith,jsmith5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629004.png
jsmith6,Software Engineer,Joseph,Smith,jsmith6@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626204.png
jtaylor,Software Engineer,Jack,Taylor,jtaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png
jtaylor1,Software Engineer,Jackson,Taylor,jtaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png
jtaylor2,Software Engineer,Jamal,Taylor,jtaylor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203526.png
jtaylor3,Product Designer,James,Taylor,jtaylor3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627777.png
jtaylor4,Go To Market Lead,Jamie,Taylor,jtaylor4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641762.png
jtaylor5,Software Engineer,Jason,Taylor,jtaylor5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630192.png
jtaylor6,Software Engineer,Jeffrey,Taylor,jtaylor6@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203457.png
jtaylor7,Software Engineer,Joseph,Taylor,jtaylor7@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630750.png
jward,Product Manager,Jessica,Ward,jward@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641936.png
jwilliam,Anchor,Jack,Williams,jwilliam@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629669.png
jwilson,Software Engineer,James,Wilson,jwilson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641806.png
jwilson1,Product Manager,Jessica,Wilson,jwilson1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628373.png
jwilson2,Software Engineer,John,Wilson,jwilson2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629134.png
jwilson3,Product Designer,Joseph,Wilson,jwilson3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203994.png
jwilson4,Go To Market Lead,Justin,Wilson,jwilson4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629670.png
jwood,Data Scientist,Jessica,Wood,jwood@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626220.png
jyoung,Data Scientist,Jonathan,Young,jyoung@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641893.png
kanderso,Go To Market Lead,Kennedy,Anderson,kanderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629697.png
kdavis,Anchor,Kennedy,Davis,kdavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629643.png
kharris,Data Engineer,Kirk,Harris,kharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629006.png
kjohnson,Software Engineer,Kalonji,Johnson,kjohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630168.png
kjoshi,Anchor,Kavita,Joshi,kjoshi@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630171.png
kjoshi1,Anchor,Kirti,Joshi,kjoshi1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203506.png
kkapoor,Product Designer,Karan,Kapoor,kkapoor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203482.png
kkapoor1,Product Manager,Kavita,Kapoor,kkapoor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630647.png
kkapoor2,Software Engineer,Kunal,Kapoor,kkapoor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626224.png
kmoore,Product Manager,Katherine,Moore,kmoore@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626162.png
knarayan,Product Manager,Karthik,Narayan,knarayan@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/101108.png
kparker,Product Manager,Keith,Parker,kparker@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626166.png
kprasad,Data Scientist,Kunal,Prasad,kprasad@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627780.png
kshah,Product Manager,Kiran,Shah,kshah@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641809.png
ksharma,Data Scientist,Kamal,Sharma,ksharma@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630196.png
ksingh,Software Engineer,Komal,Singh,ksingh@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641763.png
ksmith,Product Designer,Kevin,Smith,ksmith@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629618.png
ktaylor,Software Engineer,Kamala,Taylor,ktaylor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629033.png
ktaylor1,Data Scientist,Kennedy,Taylor,ktaylor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630590.png
kverma,Product Designer,Kalyani,Verma,kverma@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203486.png
kwalker,Anchor,Kevin,Walker,kwalker@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641764.png
landers1,Product Manager,Liam,Anderson,landers1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627751.png
landerso,Anchor,Laura,Anderson,landerso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630197.png
lbailey,Product Manager,Liam,Bailey,lbailey@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629673.png
lbrown,Enablement Manager,Leah,Brown,lbrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641854.png
lbrown1,Anchor,Lillian,Brown,lbrown1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629645.png
ldavis,Data Engineer,Layla,Davis,ldavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629008.png
ldavis1,Anchor,Lillian,Davis,ldavis1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203490.png
lfoster,Software Engineer,Lily,Foster,lfoster@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626171.png
lhall,Software Engineer,Lauren,Hall,lhall@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/204001.png
lharris,Software Engineer,Layla,Harris,lharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630695.png
lharris1,Go To Market Lead,Lester,Harris,lharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203939.png
lharris2,Product Designer,Liam,Harris,lharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626181.png
lharris3,Anchor,Louis,Harris,lharris3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630554.png
lharris4,Anchor,Lucy,Harris,lharris4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627752.png
lhill,Anchor,Lauren,Hill,lhill@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630202.png
ljohnso1,Software Engineer,Lewis,Johnson,ljohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641765.png
ljohnso2,Data Scientist,Liam,Johnson,ljohnso2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629674.png
ljohnso3,Software Engineer,Lily,Johnson,ljohnso3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630193.png
ljohnso4,Go To Market Lead,Lucy,Johnson,ljohnso4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631311.png
ljohnson,Go To Market Lead,Lenny,Johnson,ljohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203944.png
ljones,Software Engineer,Lebron,Jones,ljones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png
ljones1,Software Engineer,Lily,Jones,ljones1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629629.png
ljones2,Software Engineer,Lucy,Jones,ljones2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630194.png
ljoshi,Product Manager,Leela,Joshi,ljoshi@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629675.png
lmartin1,Data Engineer,Lily,Martinez,lmartin1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631197.png
lmartin2,Software Engineer,Lionel,Martinez,lmartin2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641811.png
lmartine,Go To Market Lead,Liam,Martinez,lmartine@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630208.png
lmiller,Software Engineer,Larissa,Miller,lmiller@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1626196.png
lmiller1,Go To Market Lead,Layla,Miller,lmiller1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203085.png
lmiller2,Software Engineer,Liam,Miller,lmiller2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629130.png
lmiller3,Product Manager,Lionel,Miller,lmiller3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629011.png
lmiller4,Product Designer,Lucy,Miller,lmiller4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631115.png
lrogers,Anchor,Lauren,Rogers,lrogers@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630526.png
lrussell,Product Manager,Laura,Russell,lrussell@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629676.png
